,CSD_code,Electronic_E,Dispersion_E,Dipole_M,Metal_q,HL_Gap,HOMO_Energy,LUMO_Energy,Polarizability
890,ODAFEG,-2201.085063,-0.259819,4.7162,1.89688,0.09023,-0.1552,-0.06497,614.117833
891,MUSJAM,-3357.718988,-0.230454,10.7698,1.52874,0.14868,-0.21907,-0.07039,581.054501
892,IBIFUU,-3066.573353,-0.234155,1.3462,1.38945,0.13577,-0.19522,-0.05945,613.967741
893,XIXGOB,-3781.646099,-0.168174,2.7562,1.4611,0.1351,-0.08452,0.05058,509.775146
894,LACNAG,-3231.115806,-0.287896,5.2459,1.79721,0.13804,-0.16967,-0.03163,679.37195
895,LINFIZ,-1524.8016,-0.139898,3.973,1.69824,0.11538,-0.15734,-0.04196,364.487084
896,IMOVIR,-1951.176899,-0.140159,4.7693,1.54797,0.12229,-0.18478,-0.06249,392.186273
897,KIFXOM,-7417.580997,-0.480226,0.0086,0.50399,0.14659,-0.18728,-0.04069,1094.379096
898,LIFWIJ,-2030.542667,-0.157044,6.6181,1.81232,0.01222,-0.19229,-0.18007,478.110963
899,PAKSUR,-1672.811819,-0.159552,6.7296,1.90193,0.13847,-0.16208,-0.02361,443.325853
900,COJQOK,-3485.493055,-0.289788,3.1972,1.26237,0.09667,-0.15953,-0.06286,663.708015
901,COJRIF,-3575.58015,-0.291261,2.5591,1.25682,0.0752,-0.13341,-0.05821,667.090564
902,GAVYIO,-3271.960574,-0.260485,6.6225,1.2567,0.13927,-0.18072,-0.04145,613.826845
903,DIRQED,-2444.393677,-0.131126,6.5484,1.37656,0.09095,-0.1753,-0.08435,379.865016
904,EGOZUV,-3145.536601,-0.179137,0.7607,1.61672,0.16054,-0.20023,-0.03969,517.331303
905,LEGDIL,-2246.359694,-0.136507,5.8709,1.47928,0.09635,-0.20649,-0.11014,415.572599
906,DIDROZ,-2446.790874,-0.134882,0.9807,1.60728,0.13305,-0.17339,-0.04034,385.232794
907,YIJCIG,-2497.755223,-0.15224,7.3052,1.01686,0.12029,-0.20006,-0.07977,409.348843
908,BEMFAB,-2458.278885,-0.190665,6.5931,1.67209,0.13974,-0.17443,-0.03469,479.903735
909,ODAFAC,-1931.330165,-0.144904,1.2838,1.89974,0.11601,-0.17893,-0.06292,424.64432
910,YEPMOW,-2976.998917,-0.239012,4.2446,1.97454,0.13182,-0.19586,-0.06404,602.184351
911,OFONAY,-3036.275024,-0.257533,2.1092,1.98032,0.13439,-0.16919,-0.0348,660.732728
912,BOBKEJ,-1371.622712,-0.146286,1.4279,1.91061,0.13559,-0.16233,-0.02674,402.444023
913,ZALBOD,-2076.010846,-0.152536,6.6108,1.68249,0.1411,-0.32946,-0.18836,449.714156
914,HIJQAT,-2656.845843,-0.156937,7.4452,1.34466,0.13355,-0.17926,-0.04571,440.345863
915,XOVHIA,-1252.486412,-0.123466,2.2604,1.93867,0.15833,-0.18256,-0.02423,368.522276
916,CABDAM,-2825.239995,-0.285621,0.1459,1.97822,0.13151,-0.19355,-0.06204,667.66808
917,PAKTIG,-2058.390384,-0.211651,5.0236,1.85414,0.13783,-0.15885,-0.02102,546.837104
918,TIHSAG,-4490.54776,-0.312211,7.2968,1.55676,0.11234,-0.19528,-0.08294,869.064305
919,IGITOI,-2997.507351,-0.251097,5.7431,1.75254,0.20714,-0.1772,0.02994,571.978946
920,AMIHOU,-3465.453628,-0.242595,6.7219,1.58084,0.13431,-0.19287,-0.05856,608.957911
921,SUFPEQ,-2780.180617,-0.212138,4.2324,1.593,0.13998,-0.18851,-0.04853,555.499802
922,XAVRET,-1873.288045,-0.130887,4.5469,1.09419,0.18508,-0.18887,-0.00379,398.855021
923,SOJCEB,-4189.580026,-0.229898,8.9812,1.4001,0.16558,-0.19366,-0.02808,594.469779
924,RIKVAK,-4119.550914,-0.400842,3.8962,1.78753,0.10777,-0.16273,-0.05496,883.016302
925,HIGHOX,-2500.881451,-0.140437,6.8575,1.38931,0.11011,-0.16408,-0.05397,393.92609
926,WEKTEN,-2146.004387,-0.200566,4.1669,1.82083,0.12488,-0.18761,-0.06273,495.823441
927,LOFNAW,-2521.772106,-0.236315,2.4157,1.99738,0.13055,-0.18091,-0.05036,611.142499
928,FAKZAU,-2149.029072,-0.216368,5.8251,1.9569,0.09404,-0.12298,-0.02894,542.386686
929,BATFEK,-2423.202401,-0.231027,1.0601,1.96089,0.1054,-0.17437,-0.06897,614.744882
930,XUFNET,-2248.682206,-0.173197,0.727,2.01286,0.13247,-0.16954,-0.03707,476.136223
931,EGUBOX,-2808.193252,-0.22656,4.0574,1.2764,0.07309,-0.16287,-0.08978,561.040111
932,DOTPEH,-3823.27389,-0.198646,9.1381,0.73333,0.17803,-0.24494,-0.06691,544.316978
933,NIJVOT,-2862.638608,-0.235724,3.5758,1.80913,0.13632,-0.19144,-0.05512,585.71904
934,ZUWYUL,-1843.261768,-0.134766,1.0209,1.73322,0.15893,-0.1919,-0.03297,366.580131
935,EFEGED,-2951.785169,-0.253212,2.0985,1.71757,0.11393,-0.09804,0.01589,717.870249
936,JUHQAG,-3278.924174,-0.287935,7.5725,1.83645,0.12204,-0.16883,-0.04679,704.64889
937,JOGMEZ,-3196.906687,-0.12828,2.8841,1.27039,0.15618,-0.21746,-0.06128,365.0015
938,LILGET,-2560.631442,-0.16564,4.2655,1.30637,0.12941,-0.17584,-0.04643,446.999137
939,MILWEJ,-1715.272325,-0.115028,4.0583,1.52086,0.18881,-0.2321,-0.04329,304.424959
940,GUXDUZ,-2988.049809,-0.141691,0.3597,1.56927,0.15154,-0.20308,-0.05154,408.085984
941,BUNBUJ,-4247.801845,-0.404309,2.7833,1.75731,0.13107,-0.19685,-0.06578,1070.639421
942,PETFUS,-2076.666232,-0.148132,6.1453,1.9947,0.13266,-0.1758,-0.04314,435.569415
943,ERUYAR,-3167.164627,-0.103935,7.3206,1.71506,0.14081,-0.25165,-0.11084,323.041591
944,JORXUM,-2815.354824,-0.153296,1.3718,1.66445,0.10947,-0.2346,-0.12513,487.405941
945,GIGLAK,-2052.633051,-0.170922,3.6653,1.96403,0.12499,-0.18572,-0.06073,477.93112
946,KEZZOH,-2883.271635,-0.07199,9.551,0.49413,0.1067,-0.21098,-0.10428,255.304888
947,PIMDUM,-2526.902866,-0.090141,10.7344,0.91245,0.22994,-0.34988,-0.11994,261.887868
948,MALXOM,-2337.462021,-0.231946,1.7484,2.07782,0.12757,-0.18913,-0.06156,627.161339
949,QEWKIN,-3043.817263,-0.344496,4.2811,1.72123,0.01599,-0.15111,-0.13512,785.585887
950,VIXYUW,-3465.823083,-0.194135,2.9203,1.07353,0.13709,-0.17264,-0.03555,498.227392
951,ERAZUU,-2268.898963,-0.117381,1.5696,1.22347,0.1489,-0.15623,-0.00733,313.957605
952,AFOZEA,-1604.185826,-0.125156,7.2009,1.53545,0.13797,-0.16491,-0.02694,330.960024
953,TUQMID,-3258.250021,-0.264373,4.7543,1.17927,0.13733,-0.16461,-0.02728,620.092319
954,ZOFTET,-2496.203641,-0.094734,3.8275,0.98216,0.17654,-0.21638,-0.03984,290.492006
955,FAQNUI,-1958.111765,-0.100191,6.3165,1.32271,0.12483,-0.1838,-0.05897,310.09422
956,QIZRUN,-3715.463345,-0.189003,8.4836,1.52881,0.08952,-0.19489,-0.10537,509.183645
957,OPUMOC,-4160.211413,-0.194721,3.9745,0.72359,0.11552,-0.1823,-0.06678,526.961068
958,XEWHIS,-2859.034482,-0.218834,3.658,1.87075,0.13493,-0.19142,-0.05649,577.806805
959,EXUZEE,-3057.059496,-0.384557,8.2516,1.90275,0.03248,-0.1024,-0.06992,851.207427
960,PAFVIE,-2945.531926,-0.265673,3.4796,1.84396,0.13612,-0.18128,-0.04516,644.113648
961,WUFHIP,-3421.605474,-0.262635,5.9066,1.80384,0.10456,-0.15535,-0.05079,689.969892
962,TAMMEA,-2526.146912,-0.260819,2.8998,2.03298,0.13115,-0.17966,-0.04851,620.916122
963,AHEHIG,-2480.447873,-0.104868,6.4136,1.16819,0.09977,-0.16999,-0.07022,361.565385
964,OFIFAN,-4723.622557,-0.273968,14.3116,0.95483,0.19602,-0.33271,-0.13669,591.082044
965,WOFGUT,-2691.50132,-0.236081,0.7328,1.84224,0.15573,-0.17328,-0.01755,565.467188
966,TIZROL,-2767.416132,-0.28706,6.2398,1.86538,0.13933,-0.16941,-0.03008,668.897962
967,KONWUH,-2903.770347,-0.234021,0.7563,1.30523,0.13543,-0.17269,-0.03726,551.053216
968,MIPSOW,-1493.971335,-0.155527,2.3086,2.0814,0.12082,-0.15516,-0.03434,441.270269
969,HUVSIB,-2836.09323,-0.241686,6.3859,1.93945,0.1114,-0.18715,-0.07575,598.331018
970,NUYPON,-2113.650569,-0.066527,5.3132,1.03243,0.25493,-0.2351,0.01983,223.063919
971,CUJJOH,-2678.379078,-0.205697,5.5463,1.86671,0.12797,-0.17857,-0.0506,568.857832
972,PUWTIL,-2994.701242,-0.18702,3.8338,1.78597,0.09973,-0.19311,-0.09338,528.85572
973,PUKHIO,-3036.884144,-0.136135,5.3153,1.30341,0.1429,-0.20943,-0.06653,385.413009
974,CORLAW,-2582.536352,-0.04393,8.9851,0.49926,0.20033,-0.2378,-0.03747,167.468527
975,UGENAW,-2178.46664,-0.174765,0.3986,1.90333,0.11829,-0.08587,0.03242,527.811685
976,MANWAA,-2749.132791,-0.215671,0.005,1.95648,0.13183,-0.06745,0.06438,611.835416
977,DELTOE,-1988.985431,-0.122125,2.9137,1.08439,0.13247,-0.18336,-0.05089,315.004251
978,BUJWUA,-3996.946042,-0.235884,5.1503,1.81751,0.08933,-0.17042,-0.08109,593.663901
979,KAPZEI,-3157.364851,-0.211919,11.6554,1.35096,0.11617,-0.19031,-0.07414,570.127815
980,NAYCUM,-2302.174596,-0.150371,8.1973,1.5194,0.15859,-0.21574,-0.05715,429.366236
981,YUMKIB,-3123.687912,-0.223665,14.2381,1.54912,0.12727,-0.20589,-0.07862,632.231057
982,QEJYAH,-834.234008,-0.096421,2.8451,1.84858,0.19496,-0.26464,-0.06968,307.182522
983,DEHPOV,-1924.294809,-0.123681,7.0905,1.51731,0.13524,-0.2207,-0.08546,343.021333
984,MITBEZ,-3498.095651,-0.317506,3.0251,1.51772,0.12607,-0.18061,-0.05454,765.698991
985,DUCBOS,-1776.570757,-0.087754,11.829,1.5668,0.10702,-0.22581,-0.11879,302.784122
986,JUCQON,-2035.081075,-0.056928,4.8771,1.02079,0.25226,-0.2432,0.00906,199.529223
987,APABID,-1195.015367,-0.103374,7.1811,1.63947,0.06547,-0.17813,-0.11266,330.806822
988,QEWJUY,-2679.986718,-0.251703,2.5075,1.93793,0.11584,-0.16711,-0.05127,627.377484
989,DEKWAU,-3464.251869,-0.23723,5.0807,1.42198,0.12453,-0.19101,-0.06648,606.524794
990,SETJOT,-1641.995746,-0.088817,6.5412,1.61437,0.18634,-0.23637,-0.05003,264.554783
991,EYEXAH,-1938.347029,-0.164332,5.6863,1.89746,0.11807,-0.16685,-0.04878,440.98943
992,CIJGEI,-2773.537846,-0.207278,9.7227,1.85956,0.10697,-0.19539,-0.08842,649.654431
993,NUPLOB,-3747.026234,-0.151983,3.5033,1.47958,0.15064,-0.20738,-0.05674,421.905721
994,RIKVOY,-2799.223536,-0.191295,6.1683,1.43275,0.0872,-0.18985,-0.10265,492.368007
995,OZUZOA,-2501.852078,-0.18259,8.7342,1.57705,0.10212,-0.18912,-0.087,501.249926
996,HIJPUM,-1934.516889,-0.156634,6.9214,1.84203,0.12621,-0.16897,-0.04276,447.675168
997,DOTFUN,-4212.076367,-0.303835,5.9461,1.42631,0.17054,-0.22633,-0.05579,772.52261
998,HEDJOP,-2984.731339,-0.113442,6.8248,1.6334,0.25116,-0.23233,0.01883,311.556139
999,DODKEO,-2892.685666,-0.245226,1.1505,1.21304,0.02647,-0.10132,-0.07485,585.998127
1000,WULKIX,-1934.716121,-0.20162,4.0315,1.89723,0.09312,-0.16665,-0.07353,524.915719
1001,VIFRIL,-1863.095982,-0.125873,1.4181,0.91338,0.12764,-0.15958,-0.03194,311.980603
1002,ZAVPOE,-3590.608925,-0.309569,5.2288,1.00784,0.08192,-0.14658,-0.06466,718.27264
1003,POSQAQ,-1788.635798,-0.128475,5.2594,1.48226,0.16882,-0.22545,-0.05663,338.229623
1004,IMEBEI,-2054.75875,-0.10309,11.3378,1.64876,0.10772,-0.20679,-0.09907,364.845283
1005,SIHZOB,-1686.393887,-0.18121,0.2444,1.98011,0.14605,-0.15996,-0.01391,472.942454
1006,YUFXIH,-1986.765356,-0.119871,5.3085,1.63973,0.13979,-0.19719,-0.0574,381.127286
1007,QALJUK,-2079.859388,-0.205849,3.3643,1.72122,0.14103,-0.17758,-0.03655,535.458638
1008,MUNDIJ,-1347.544268,-0.120691,2.6332,1.73047,0.14809,-0.19084,-0.04275,358.319612
1009,PIKJUP,-2877.769084,-0.154507,5.4545,1.39531,0.15331,-0.18932,-0.03601,434.351604
1010,HUVRUM,-2009.144546,-0.194147,4.0917,2.06439,0.06721,-0.12028,-0.05307,495.32997
1011,ZUNLUP,-2285.613377,-0.107521,3.903,1.31011,0.21131,-0.30621,-0.0949,368.953092
1012,RILGIE,-3893.516002,-0.241623,9.4403,1.5019,0.11479,-0.18607,-0.07128,641.791225
1013,TIGDUI,-3093.644481,-0.256065,3.0724,2.00007,0.14257,-0.18157,-0.039,639.101543
1014,BEKPOZ,-1738.723607,-0.09194,13.0231,1.68977,0.22547,-0.36143,-0.13596,264.104896
1015,AWEZEH,-1935.788242,-0.21788,5.141,1.94754,0.15291,-0.16308,-0.01017,537.531414
1016,NIRKOQ,-2705.791838,-0.178921,9.3016,1.13605,0.12961,-0.31353,-0.18392,474.117178
1017,DOPROQ,-3053.993962,-0.157835,4.5353,1.45668,0.13376,-0.19149,-0.05773,445.499855
1018,WUZJIK,-2811.090498,-0.207891,3.3663,1.45181,0.10972,-0.17128,-0.06156,525.367221
1019,RIVPES,-1798.85803,-0.172261,5.3565,1.95521,0.14011,-0.16176,-0.02165,451.740811
1020,TAJZUC,-3510.506072,-0.284193,8.9026,1.82929,0.12791,-0.19145,-0.06354,686.390873
1021,EYEWUA,-3469.344979,-0.249486,4.0214,1.75273,0.08801,-0.13407,-0.04606,639.272802
1022,AVIPOK,-1952.010843,-0.19649,4.1751,1.97088,0.15986,-0.17794,-0.01808,511.454505
1023,QEWKAF,-2764.154231,-0.23481,1.9897,1.86062,0.12335,-0.16962,-0.04627,611.641477
1024,KOCBUC,-2810.847959,-0.171594,1.0716,1.55581,0.11937,-0.1825,-0.06313,461.357563
1025,YEYBEK,-2347.241994,-0.266353,1.4049,2.00243,0.12809,-0.19798,-0.06989,641.813602
1026,EPONON,-2726.357988,-0.252619,14.1531,1.23259,0.1325,-0.18229,-0.04979,581.158974
1027,DASNUI,-2276.588778,-0.247918,3.6319,2.01233,0.17573,-0.17199,0.00374,595.120046
1028,NEZQEO,-2821.3852,-0.167491,8.2262,1.30487,0.0597,-0.13539,-0.07569,452.871806
1029,EGEKOR,-3074.914851,-0.218232,3.8753,1.15834,0.11095,-0.16065,-0.0497,541.466586
1030,ROHMIM,-3371.161466,-0.279711,3.057,1.61801,0.12143,-0.16403,-0.0426,705.783989
1031,TOQVOL,-1831.224927,-0.204395,0.0316,1.90892,0.18202,-0.17156,0.01046,504.690829
1032,UVUWOY,-3572.901691,-0.289111,2.254,1.38797,0.13215,-0.17232,-0.04017,692.557527
1033,CIMBEG,-2502.318776,-0.134016,5.0828,1.55189,0.12525,-0.19851,-0.07326,391.862998
1034,RANDUF,-3570.904855,-0.37418,4.1617,1.91811,0.09152,-0.19192,-0.1004,876.447165
1035,SUQWEG,-1304.997177,-0.125883,4.7454,1.95165,0.12157,-0.17062,-0.04905,368.449279
1036,ROWZUA,-2629.084887,-0.203884,4.8984,1.78187,0.11573,-0.1837,-0.06797,530.30025
1037,JOBKAN,-1254.334263,-0.114582,1.0406,1.88355,0.21122,-0.35797,-0.14675,334.594272
1038,RILJED,-3400.672242,-0.286549,3.0641,1.48639,0.13289,-0.19036,-0.05747,685.863499
1039,YIGNUA,-3098.803356,-0.308365,2.2823,1.87664,0.14404,-0.19093,-0.04689,711.608942
1040,ZIPJUF,-2190.468126,-0.156519,3.5293,1.74955,0.16709,-0.18294,-0.01585,411.041776
1041,SIVNOC,-3187.874403,-0.223973,5.3377,1.54328,0.19029,-0.22927,-0.03898,535.447467
1042,SIMFAV,-2570.84757,-0.179293,0.5869,1.08121,0.09463,-0.17928,-0.08465,495.466735
1043,KIBBAB,-1940.122081,-0.067208,9.1141,1.05174,0.26227,-0.23938,0.02289,184.979594
1044,TUPWEG,-3673.406838,-0.355019,5.3,1.85452,0.03218,-0.28665,-0.25447,880.502044
1045,MALYII,-1722.175657,-0.120449,4.2946,1.12236,0.11215,-0.18471,-0.07256,400.222756
1046,IYENAD,-1600.750153,-0.143623,11.2989,1.72272,0.14006,-0.31605,-0.17599,356.722974
1047,ZIGKOS,-2513.743851,-0.174213,0.6617,1.49608,0.12866,-0.16835,-0.03969,447.429024
1048,ZAVZAA,-2478.469228,-0.184999,4.7553,1.48756,0.10488,-0.192,-0.08712,499.773758
1049,CAXCEL,-3309.06956,-0.30651,7.2521,1.79061,0.13232,-0.1816,-0.04928,753.338416
1050,WIWWEF,-1939.590187,-0.161356,3.8573,1.97579,0.12636,-0.17691,-0.05055,445.972284
1051,VARQOU,-1632.238591,-0.07629,7.9469,1.64892,0.17679,-0.22127,-0.04448,239.988675
1052,DOPSAD,-2724.040415,-0.146614,5.0915,1.39186,0.13477,-0.18813,-0.05336,406.627802
1053,XUJTOL,-2748.785399,-0.140742,4.7559,1.13841,0.09376,-0.18823,-0.09447,413.180322
1054,JOQPEK,-1411.955205,-0.11349,3.2602,1.83902,0.13434,-0.1779,-0.04356,337.14991
1055,BODNAK,-1184.084583,-0.096654,1.3893,1.65479,0.13103,-0.19336,-0.06233,304.810038
1056,BEXKUL,-1101.477727,-0.116119,3.0423,1.72971,0.15484,-0.18212,-0.02728,307.33788
1057,BOBKOT,-1866.147567,-0.118299,14.6676,1.61152,0.16731,-0.23415,-0.06684,352.497319
1058,YOPDIQ,-2726.545186,-0.294912,4.0118,1.99306,0.11164,-0.19152,-0.07988,699.002901
1059,YOSMUP,-1349.560181,-0.145596,5.9748,1.90626,0.14688,-0.15493,-0.00805,386.396582
1060,LEXFAW,-2821.077923,-0.161616,4.8041,1.67986,0.14827,-0.20194,-0.05367,442.08469
1061,YUKLEW,-969.660626,-0.081034,3.2819,2.03037,0.15432,-0.29274,-0.13842,261.570712
1062,VIMGOO,-3290.03121,-0.206826,1.6976,1.39265,0.11901,-0.17491,-0.0559,547.432385
1063,PAFHUB,-2154.477075,-0.109043,4.8276,0.72219,0.14181,-0.17618,-0.03437,281.900992
1064,GENCIM,-2147.133534,-0.183948,8.9836,1.89876,0.16815,-0.1736,-0.00545,476.225521
1065,WEYKUH,-2439.164184,-0.143735,4.4882,0.97009,0.167,-0.20195,-0.03495,411.180599
1066,GAKZAT,-2505.959164,-0.101885,8.2321,1.67788,0.04879,-0.31575,-0.26696,343.819455
1067,CUYQAP,-2390.798956,-0.200268,11.6137,1.8802,0.13642,-0.16887,-0.03245,534.027086
1068,ETAWEB,-3484.158995,-0.255689,11.5968,1.69615,0.11003,-0.32078,-0.21075,613.999311
1069,PUPLAP,-3015.982336,-0.28513,5.0606,1.92665,0.14097,-0.19054,-0.04957,678.628846
1070,AROLEA,-1803.592516,-0.100303,6.1346,1.5537,0.15659,-0.23172,-0.07513,326.328937
1071,QOJSUD,-1145.652085,-0.105878,0.9251,1.70049,0.12554,-0.17349,-0.04795,315.037924
1072,YACRAW,-2125.276017,-0.18469,1.0661,1.85203,0.15368,-0.16426,-0.01058,483.956645
1073,AXACUX,-2461.160205,-0.1505,8.9045,1.47168,0.11856,-0.21238,-0.09382,441.696075
1074,YICXEO,-1721.693078,-0.154839,3.0622,1.87121,0.14942,-0.15714,-0.00772,417.663351
1075,RUXCEU,-5188.132456,-0.421312,5.0629,1.61661,0.1137,-0.16546,-0.05176,950.948369
1076,JUXMUK,-2573.58325,-0.101018,3.4815,1.04744,0.18755,-0.22657,-0.03902,310.526582
1077,YICXIS,-4368.638439,-0.15688,1.8003,1.86293,0.1474,-0.1664,-0.019,451.376112
1078,ELIZOQ,-2157.509109,-0.179227,3.9737,1.94301,0.14308,-0.17548,-0.0324,467.762039
1079,REJMAW,-2507.124238,-0.231417,5.1763,1.83436,0.15431,-0.1764,-0.02209,565.623188
1080,QUHQOZ,-1477.821965,-0.107108,1.8819,1.07706,0.16627,-0.19459,-0.02832,327.444525
1081,TATSIR,-1441.118587,-0.121611,13.8604,1.24794,0.14673,-0.20718,-0.06045,329.182952
1082,KILKIC,-2961.383113,-0.158816,3.9061,1.00063,0.16654,-0.22827,-0.06173,464.34992
1083,COJRAX,-3406.901154,-0.276588,3.3497,1.20814,0.09457,-0.157,-0.06243,640.385739
1084,OGANAO,-1838.256436,-0.096911,5.2042,0.87888,0.11616,-0.18443,-0.06827,271.935594
1085,BENBII,-2095.678542,-0.142195,4.0321,1.52009,0.12218,-0.22937,-0.10719,419.555692
1086,PAKWAB,-1805.544183,-0.174553,7.259,1.77455,0.12629,-0.14909,-0.0228,472.933103
1087,NONJEI,-2174.471383,-0.217484,3.3373,1.74182,0.13933,-0.18757,-0.04824,538.006121
1088,XAWVEW,-1490.75662,-0.07461,9.8082,1.71195,0.13431,-0.36552,-0.23121,267.524592
1089,SUQRUR,-730.900251,-0.075009,7.4426,2.07941,0.13109,-0.15465,-0.02356,257.825479
1090,SAXSEQ,-2202.975592,-0.143003,3.3592,0.84568,0.13542,-0.30129,-0.16587,370.147724
1091,VEDSEE,-2638.444887,-0.250234,5.1761,1.9862,0.11178,-0.19408,-0.0823,626.793953
1092,IKILUK,-3481.417719,-0.317765,6.8547,1.50829,0.13997,-0.17369,-0.03372,767.973964
1093,QIHYOY,-3247.50375,-0.291529,6.4902,1.59659,0.10229,-0.15693,-0.05464,700.729066
1094,GAKBAW,-1671.876912,-0.093362,15.5107,1.63287,0.12288,-0.23231,-0.10943,310.351142
1095,HAMZAW,-1949.323171,-0.080807,0.8401,1.51362,0.16988,-0.32659,-0.15671,251.764013
1096,IJAPEP,-1003.156356,-0.091642,5.8446,1.63348,0.1455,-0.17928,-0.03378,282.985172
1097,XIQJIQ,-2311.492948,-0.178715,2.9537,1.51764,0.13434,-0.1842,-0.04986,454.146353
1098,LATKOG,-1559.180308,-0.117666,13.3237,1.60328,0.20964,-0.10387,0.10577,291.903476
1099,DAHLUV,-2373.271212,-0.134141,4.9901,1.28065,0.16113,-0.18465,-0.02352,355.007796
1100,PODRIM,-12704.637155,-0.236678,5.7837,1.73177,0.08732,-0.16673,-0.07941,647.235637
1101,AFOYUP,-2098.375742,-0.157857,8.6401,1.5856,0.14324,-0.15494,-0.0117,403.101619
1102,BABZEM,-897.34631,-0.094748,2.5867,2.10196,0.11582,-0.17036,-0.05454,277.784817
1103,UWODOB,-2584.895911,-0.136377,5.5174,1.37486,0.15158,-0.19733,-0.04575,385.739003
1104,ILAYOK,-1884.629531,-0.107857,8.0318,1.78151,0.10689,-0.31783,-0.21094,334.649891
1105,YUSVUE,-1913.989638,-0.181698,0.0003,1.88799,0.18128,-0.31598,-0.1347,477.864045
1106,ZEDJOK,-2435.306599,-0.175449,6.107,1.73704,0.11989,-0.19478,-0.07489,458.894548
1107,GUMYAP,-1702.479569,-0.211569,0.3998,1.57805,0.10723,-0.14534,-0.03811,510.221416
1108,BAHGEX,-2620.132097,-0.088843,6.283,0.5222,0.15133,-0.19393,-0.0426,340.463892
1109,QEGJOE,-2531.691967,-0.261009,4.2713,1.82752,0.13131,-0.18003,-0.04872,601.535092
1110,COFBAB,-2384.225987,-0.227097,4.9054,2.01763,0.16707,-0.18608,-0.01901,569.496542
1111,YUHJIW,-2411.674537,-0.238603,1.8092,1.86877,0.11617,-0.18991,-0.07374,622.541052
1112,TEZTAV,-2843.922558,-0.254214,5.8837,1.94946,0.12018,-0.17017,-0.04999,634.997601
1113,DAHMEG,-2270.797083,-0.139241,5.2745,1.30942,0.12892,-0.16366,-0.03474,366.696961
1114,HUWDUY,-7033.81456,-0.223212,14.0867,1.5011,0.12552,-0.22456,-0.09904,589.927083
1115,VEDHOC,-3712.783325,-0.296444,4.2167,1.69058,0.17492,-0.17649,-0.00157,683.332477
1116,YEFZIT,-1749.349788,-0.147383,5.4956,1.48155,0.10866,-0.14489,-0.03623,418.402491
1117,RIDSIG,-3549.745619,-0.254307,8.3508,1.70081,0.14386,-0.20516,-0.0613,669.18787
1118,UGEBIS,-5146.360007,-0.466941,3.5827,1.57753,0.12116,-0.19632,-0.07516,1156.883783
1119,PHBUAY,-1724.847297,-0.113101,1.4822,1.80613,0.13975,-0.20748,-0.06773,400.327228
1120,VOGJAE,-2499.567145,-0.209408,9.5153,1.16244,0.07107,-0.11889,-0.04782,489.812309
1121,RAMJOG,-1252.42493,-0.122408,1.7097,1.95799,0.10712,-0.16485,-0.05773,366.45072
1122,IGEDIH,-3060.492115,-0.30324,0.7951,1.86577,0.10836,-0.17845,-0.07009,764.409949
1123,PIXHAG,-2919.787826,-0.23549,6.0695,1.47295,0.11562,-0.17949,-0.06387,560.780298
1124,HIMDOX,-3794.983688,-0.268761,8.8356,1.41502,0.12771,-0.20976,-0.08205,619.832188
1125,KUKREO,-2030.493925,-0.224871,3.6183,1.95082,0.15201,-0.16541,-0.0134,557.253057
1126,ZIQKAO,-2995.436592,-0.176058,8.5063,1.58181,0.08952,-0.18223,-0.09271,502.673089
1127,HUVSAT,-2842.832028,-0.243004,6.0301,1.84015,0.11568,-0.19064,-0.07496,584.609416
1128,AGUFEN,-5028.652931,-0.428788,4.2762,1.41301,0.10954,-0.16987,-0.06033,976.653002
1129,QOPVOI,-3336.63752,-0.214022,3.0763,1.18701,0.09941,-0.18216,-0.08275,601.714011
1130,MOGWIP,-1547.812453,-0.152558,8.4289,1.95617,0.1532,-0.16498,-0.01178,424.86551
1131,ESIHEU,-2976.969313,-0.250148,5.3799,1.81494,0.15706,-0.20413,-0.04707,608.639506
1132,MEBDEC,-2179.187308,-0.240069,1.4626,1.75695,0.09502,-0.15302,-0.058,568.866241
1133,RILGAW,-4050.701627,-0.28037,8.9419,1.4794,0.12612,-0.18789,-0.06177,687.926648
1134,GUSQUG,-3479.514313,-0.223241,4.1642,1.73681,0.10558,-0.20577,-0.10019,573.57498
1135,PUJZAX,-2779.064481,-0.130756,4.4415,1.58389,0.15944,-0.20923,-0.04979,366.750225
1136,AFUFAI,-2338.011088,-0.166259,7.1937,1.73777,0.10386,-0.18472,-0.08086,439.701302
1137,ZEQQAN,-1699.072709,-0.090677,6.9534,1.19004,0.01334,-0.21031,-0.19697,321.083572
1138,HEWDUJ,-1864.379336,-0.133696,8.07,2.03861,0.15891,-0.29031,-0.1314,391.227698
1139,XENKAC,-2021.552239,-0.127425,15.0983,1.52652,0.1195,-0.22613,-0.10663,380.894728
1140,UNAMAX,-1587.772614,-0.140058,3.1223,1.84579,0.14603,-0.15721,-0.01118,381.098448
1141,EFUFAN,-3796.149562,-0.191683,9.6514,0.85133,0.1026,-0.20477,-0.10217,519.008165
1142,XUTRUZ,-2713.579076,-0.263191,0.6299,2.06343,0.11674,-0.1669,-0.05016,651.558236
1143,NOYJUI,-2528.096062,-0.281046,2.704,1.94869,0.1514,-0.17795,-0.02655,681.008174
1144,QELKEY,-3241.942498,-0.211422,8.0833,1.47221,0.16361,-0.19603,-0.03242,538.797335
1145,YOXHAV,-3013.080013,-0.153062,1.3695,1.33903,0.1287,-0.18095,-0.05225,456.883112
