CSD_code;Electronic_E;Dispersion_E;Dipole_M;Metal_q;HL_Gap;HOMO_Energy;LUMO_Energy;Polarizability
YOSMUP;-1349.560181;-0.145596;5.974800;1.906260;0.146880;-0.154930;-0.008050;386.396582
LEXFAW;-2821.077923;-0.161616;4.804100;1.679860;0.148270;-0.201940;-0.053670;442.084690
YUKLEW;-969.660626;-0.081034;3.281900;2.030370;0.154320;-0.292740;-0.138420;261.570712
VIMGOO;-3290.031210;-0.206826;1.697600;1.392650;0.119010;-0.174910;-0.055900;547.432385
PAFHUB;-2154.477075;-0.109043;4.827600;0.722190;0.141810;-0.176180;-0.034370;281.900992
GENCIM;-2147.133534;-0.183948;8.983600;1.898760;0.168150;-0.173600;-0.005450;476.225521
WEYKUH;-2439.164184;-0.143735;4.488200;0.970090;0.167000;-0.201950;-0.034950;411.180599
GAKZAT;-2505.959164;-0.101885;8.232100;1.677880;0.048790;-0.315750;-0.266960;343.819455
CUYQAP;-2390.798956;-0.200268;11.613700;1.880200;0.136420;-0.168870;-0.032450;534.027086
ETAWEB;-3484.158995;-0.255689;11.596800;1.696150;0.110030;-0.320780;-0.210750;613.999311
PUPLAP;-3015.982336;-0.285130;5.060600;1.926650;0.140970;-0.190540;-0.049570;678.628846
AROLEA;-1803.592516;-0.100303;6.134600;1.553700;0.156590;-0.231720;-0.075130;326.328937
QOJSUD;-1145.652085;-0.105878;0.925100;1.700490;0.125540;-0.173490;-0.047950;315.037924
YACRAW;-2125.276017;-0.184690;1.066100;1.852030;0.153680;-0.164260;-0.010580;483.956645
AXACUX;-2461.160205;-0.150500;8.904500;1.471680;0.118560;-0.212380;-0.093820;441.696075
YICXEO;-1721.693078;-0.154839;3.062200;1.871210;0.149420;-0.157140;-0.007720;417.663351
RUXCEU;-5188.132456;-0.421312;5.062900;1.616610;0.113700;-0.165460;-0.051760;950.948369
JUXMUK;-2573.583250;-0.101018;3.481500;1.047440;0.187550;-0.226570;-0.039020;310.526582
YICXIS;-4368.638439;-0.156880;1.800300;1.862930;0.147400;-0.166400;-0.019000;451.376112
ELIZOQ;-2157.509109;-0.179227;3.973700;1.943010;0.143080;-0.175480;-0.032400;467.762039
REJMAW;-2507.124238;-0.231417;5.176300;1.834360;0.154310;-0.176400;-0.022090;565.623188
QUHQOZ;-1477.821965;-0.107108;1.881900;1.077060;0.166270;-0.194590;-0.028320;327.444525
TATSIR;-1441.118587;-0.121611;13.860400;1.247940;0.146730;-0.207180;-0.060450;329.182952
KILKIC;-2961.383113;-0.158816;3.906100;1.000630;0.166540;-0.228270;-0.061730;464.349920
COJRAX;-3406.901154;-0.276588;3.349700;1.208140;0.094570;-0.157000;-0.062430;640.385739
OGANAO;-1838.256436;-0.096911;5.204200;0.878880;0.116160;-0.184430;-0.068270;271.935594
BENBII;-2095.678542;-0.142195;4.032100;1.520090;0.122180;-0.229370;-0.107190;419.555692
PAKWAB;-1805.544183;-0.174553;7.259000;1.774550;0.126290;-0.149090;-0.022800;472.933103
NONJEI;-2174.471383;-0.217484;3.337300;1.741820;0.139330;-0.187570;-0.048240;538.006121
XAWVEW;-1490.756620;-0.074610;9.808200;1.711950;0.134310;-0.365520;-0.231210;267.524592
SUQRUR;-730.900251;-0.075009;7.442600;2.079410;0.131090;-0.154650;-0.023560;257.825479
SAXSEQ;-2202.975592;-0.143003;3.359200;0.845680;0.135420;-0.301290;-0.165870;370.147724
VEDSEE;-2638.444887;-0.250234;5.176100;1.986200;0.111780;-0.194080;-0.082300;626.793953
IKILUK;-3481.417719;-0.317765;6.854700;1.508290;0.139970;-0.173690;-0.033720;767.973964
QIHYOY;-3247.503750;-0.291529;6.490200;1.596590;0.102290;-0.156930;-0.054640;700.729066
GAKBAW;-1671.876912;-0.093362;15.510700;1.632870;0.122880;-0.232310;-0.109430;310.351142
HAMZAW;-1949.323171;-0.080807;0.840100;1.513620;0.169880;-0.326590;-0.156710;251.764013
IJAPEP;-1003.156356;-0.091642;5.844600;1.633480;0.145500;-0.179280;-0.033780;282.985172
XIQJIQ;-2311.492948;-0.178715;2.953700;1.517640;0.134340;-0.184200;-0.049860;454.146353
LATKOG;-1559.180308;-0.117666;13.323700;1.603280;0.209640;-0.103870;0.105770;291.903476
DAHLUV;-2373.271212;-0.134141;4.990100;1.280650;0.161130;-0.184650;-0.023520;355.007796
PODRIM;-12704.637155;-0.236678;5.783700;1.731770;0.087320;-0.166730;-0.079410;647.235637
AFOYUP;-2098.375742;-0.157857;8.640100;1.585600;0.143240;-0.154940;-0.011700;403.101619
BABZEM;-897.346310;-0.094748;2.586700;2.101960;0.115820;-0.170360;-0.054540;277.784817
UWODOB;-2584.895911;-0.136377;5.517400;1.374860;0.151580;-0.197330;-0.045750;385.739003
ILAYOK;-1884.629531;-0.107857;8.031800;1.781510;0.106890;-0.317830;-0.210940;334.649891
YUSVUE;-1913.989638;-0.181698;0.000300;1.887990;0.181280;-0.315980;-0.134700;477.864045
ZEDJOK;-2435.306599;-0.175449;6.107000;1.737040;0.119890;-0.194780;-0.074890;458.894548
GUMYAP;-1702.479569;-0.211569;0.399800;1.578050;0.107230;-0.145340;-0.038110;510.221416
BAHGEX;-2620.132097;-0.088843;6.283000;0.522200;0.151330;-0.193930;-0.042600;340.463892
QEGJOE;-2531.691967;-0.261009;4.271300;1.827520;0.131310;-0.180030;-0.048720;601.535092
COFBAB;-2384.225987;-0.227097;4.905400;2.017630;0.167070;-0.186080;-0.019010;569.496542
YUHJIW;-2411.674537;-0.238603;1.809200;1.868770;0.116170;-0.189910;-0.073740;622.541052
TEZTAV;-2843.922558;-0.254214;5.883700;1.949460;0.120180;-0.170170;-0.049990;634.997601
DAHMEG;-2270.797083;-0.139241;5.274500;1.309420;0.128920;-0.163660;-0.034740;366.696961
HUWDUY;-7033.814560;-0.223212;14.086700;1.501100;0.125520;-0.224560;-0.099040;589.927083
VEDHOC;-3712.783325;-0.296444;4.216700;1.690580;0.174920;-0.176490;-0.001570;683.332477
YEFZIT;-1749.349788;-0.147383;5.495600;1.481550;0.108660;-0.144890;-0.036230;418.402491
RIDSIG;-3549.745619;-0.254307;8.350800;1.700810;0.143860;-0.205160;-0.061300;669.187870
UGEBIS;-5146.360007;-0.466941;3.582700;1.577530;0.121160;-0.196320;-0.075160;1156.883783
PHBUAY;-1724.847297;-0.113101;1.482200;1.806130;0.139750;-0.207480;-0.067730;400.327228
VOGJAE;-2499.567145;-0.209408;9.515300;1.162440;0.071070;-0.118890;-0.047820;489.812309
RAMJOG;-1252.424930;-0.122408;1.709700;1.957990;0.107120;-0.164850;-0.057730;366.450720
IGEDIH;-3060.492115;-0.303240;0.795100;1.865770;0.108360;-0.178450;-0.070090;764.409949
PIXHAG;-2919.787826;-0.235490;6.069500;1.472950;0.115620;-0.179490;-0.063870;560.780298
HIMDOX;-3794.983688;-0.268761;8.835600;1.415020;0.127710;-0.209760;-0.082050;619.832188
KUKREO;-2030.493925;-0.224871;3.618300;1.950820;0.152010;-0.165410;-0.013400;557.253057
ZIQKAO;-2995.436592;-0.176058;8.506300;1.581810;0.089520;-0.182230;-0.092710;502.673089
HUVSAT;-2842.832028;-0.243004;6.030100;1.840150;0.115680;-0.190640;-0.074960;584.609416
AGUFEN;-5028.652931;-0.428788;4.276200;1.413010;0.109540;-0.169870;-0.060330;976.653002
QOPVOI;-3336.637520;-0.214022;3.076300;1.187010;0.099410;-0.182160;-0.082750;601.714011
MOGWIP;-1547.812453;-0.152558;8.428900;1.956170;0.153200;-0.164980;-0.011780;424.865510
ESIHEU;-2976.969313;-0.250148;5.379900;1.814940;0.157060;-0.204130;-0.047070;608.639506
MEBDEC;-2179.187308;-0.240069;1.462600;1.756950;0.095020;-0.153020;-0.058000;568.866241
RILGAW;-4050.701627;-0.280370;8.941900;1.479400;0.126120;-0.187890;-0.061770;687.926648
GUSQUG;-3479.514313;-0.223241;4.164200;1.736810;0.105580;-0.205770;-0.100190;573.574980
PUJZAX;-2779.064481;-0.130756;4.441500;1.583890;0.159440;-0.209230;-0.049790;366.750225
AFUFAI;-2338.011088;-0.166259;7.193700;1.737770;0.103860;-0.184720;-0.080860;439.701302
ZEQQAN;-1699.072709;-0.090677;6.953400;1.190040;0.013340;-0.210310;-0.196970;321.083572
HEWDUJ;-1864.379336;-0.133696;8.070000;2.038610;0.158910;-0.290310;-0.131400;391.227698
XENKAC;-2021.552239;-0.127425;15.098300;1.526520;0.119500;-0.226130;-0.106630;380.894728
UNAMAX;-1587.772614;-0.140058;3.122300;1.845790;0.146030;-0.157210;-0.011180;381.098448
EFUFAN;-3796.149562;-0.191683;9.651400;0.851330;0.102600;-0.204770;-0.102170;519.008165
XUTRUZ;-2713.579076;-0.263191;0.629900;2.063430;0.116740;-0.166900;-0.050160;651.558236
NOYJUI;-2528.096062;-0.281046;2.704000;1.948690;0.151400;-0.177950;-0.026550;681.008174
QELKEY;-3241.942498;-0.211422;8.083300;1.472210;0.163610;-0.196030;-0.032420;538.797335
YOXHAV;-3013.080013;-0.153062;1.369500;1.339030;0.128700;-0.180950;-0.052250;456.883112
COJRUR;-4004.245023;-0.308543;8.871000;1.359690;0.080330;-0.147010;-0.066680;714.694121
QOFHOK;-3373.246071;-0.226832;7.082800;1.514510;0.136050;-0.195870;-0.059820;573.355462
HAFZEV;-1237.734179;-0.131020;0.813500;1.963250;0.145140;-0.161430;-0.016290;361.631258
TUCSUF;-2726.466421;-0.153583;5.798400;1.690340;0.171760;-0.206630;-0.034870;449.563646
USEMUB;-1751.255739;-0.175460;3.856100;1.827890;0.146500;-0.165620;-0.019120;468.425583
XERTUK;-2762.066511;-0.206359;15.480500;1.507430;0.096880;-0.193440;-0.096560;586.744706
MAQNAT;-1895.424812;-0.141991;0.164400;1.964430;0.137300;-0.182810;-0.045510;392.816712
QOCKUO;-4093.432804;-0.319482;0.018700;1.070510;0.033910;-0.063190;-0.029280;785.127850
RIGYUB;-10789.545535;-0.052266;10.409900;0.959790;0.218540;-0.101700;0.116840;230.398155
TATTOY;-1761.040769;-0.166423;12.022500;1.659760;0.153970;-0.210180;-0.056210;422.933844
PONQAN;-1399.867484;-0.072986;7.608200;1.477860;0.176410;-0.187180;-0.010770;210.903738
QUGJUY;-1788.394344;-0.147921;5.016800;1.921160;0.137950;-0.164060;-0.026110;406.432541
IFEHIM;-3322.075043;-0.274285;2.160800;1.260720;0.103830;-0.160880;-0.057050;652.517401
KUKQOX;-2394.627368;-0.212065;4.214300;1.599600;0.169140;-0.180910;-0.011770;523.801388
EMUTAJ;-921.356122;-0.090936;5.660800;1.912230;0.176420;-0.283970;-0.107550;259.905548
RAGYIJ;-1659.116663;-0.075777;0.725000;1.876680;0.145870;-0.115290;0.030580;282.650101
OVIPUF;-2310.434280;-0.130815;8.013400;1.480740;0.148510;-0.172350;-0.023840;349.686124
OZUZEQ;-2376.072375;-0.182832;5.561700;1.721930;0.113270;-0.191550;-0.078280;510.441088
GUXFUB;-2970.194081;-0.221084;4.039300;1.811040;0.141220;-0.164520;-0.023300;562.322459
NAHDOQ;-3203.580432;-0.241688;4.582500;1.536190;0.135150;-0.193090;-0.057940;593.208800
PIWZOM;-884.093950;-0.074222;7.938700;1.641730;0.147480;-0.176280;-0.028800;248.245544
MENQOL;-1887.212192;-0.126408;3.835900;1.685140;0.145030;-0.335360;-0.190330;387.918322
DARYEC;-1595.349704;-0.158205;2.977800;1.959970;0.095790;-0.158660;-0.062870;447.890446
QIHZOZ;-3240.755009;-0.287120;6.052400;1.714190;0.099150;-0.154280;-0.055130;713.607012
AMAWEQ;-2676.478740;-0.234321;4.856600;1.403890;0.096710;-0.155300;-0.058590;548.012642
EXADAI;-2120.186038;-0.135287;7.916900;1.288390;0.166800;-0.170380;-0.003580;339.568633
XIXDAL;-2300.280445;-0.123271;6.062500;1.430670;0.146100;-0.198760;-0.052660;358.803586
RUXTEL;-5953.325538;-0.245658;3.020800;0.962810;0.105210;-0.169980;-0.064770;611.551490
FUDSOO;-2903.235512;-0.198877;6.311400;1.044270;0.150120;-0.193440;-0.043320;538.966770
YICSEJ;-3312.485389;-0.122578;10.349300;0.504180;0.169240;-0.230880;-0.061640;331.499704
HOTJUV;-3098.239107;-0.277453;4.407500;1.853340;0.146310;-0.192520;-0.046210;662.452145
FURLOT;-955.949679;-0.081829;1.007900;1.625300;0.143950;-0.158560;-0.014610;272.589713
FUDMIC;-2517.664064;-0.142908;7.389200;0.875320;0.133720;-0.175060;-0.041340;434.292096
NICJEQ;-2081.113433;-0.210050;5.282600;1.774290;0.115860;-0.155830;-0.039970;514.334868
EJOBAG;-2630.590630;-0.222970;4.555300;1.839120;0.162420;-0.168790;-0.006370;558.786376
UKOQIV;-2577.306229;-0.139412;1.530000;1.517370;0.090700;-0.173970;-0.083270;409.296329
IXUREY;-2488.142741;-0.223502;2.567000;1.440980;0.126770;-0.182800;-0.056030;515.726799
ICOGAJ;-2067.852354;-0.197199;1.982600;1.952900;0.138900;-0.179600;-0.040700;494.821110
PAWXAM;-3042.152034;-0.230375;2.984800;1.813990;0.126680;-0.172840;-0.046160;608.906670
XEQSET;-2233.398733;-0.185221;1.710800;1.561910;0.112240;-0.156740;-0.044500;481.407884
QELKAU;-3049.643227;-0.204129;2.434400;1.541990;0.137130;-0.193690;-0.056560;525.344355
HOCXIH;-2460.778501;-0.161950;1.165700;1.291030;0.134270;-0.213580;-0.079310;442.848534
VERMIR;-2896.506420;-0.224234;0.865600;1.288130;0.132300;-0.174420;-0.042120;546.677073
HUTFIM;-2247.908992;-0.205421;4.150400;1.951510;0.096510;-0.162840;-0.066330;529.145164
ZUGJUI;-3472.717073;-0.253714;7.209400;1.518170;0.153890;-0.191120;-0.037230;613.101440
UBEQUP;-1358.204268;-0.136235;3.885800;1.827700;0.119260;-0.169220;-0.049960;385.112206
TEHPOM;-3397.239587;-0.322758;4.881700;1.878910;0.161440;-0.186320;-0.024880;797.946222
CEBKOM;-1591.902840;-0.117445;3.754900;1.857340;0.145460;-0.178920;-0.033460;350.759450
KANTIF;-3430.306881;-0.304687;4.929400;1.144950;0.136080;-0.190030;-0.053950;741.647752
YIGNOU;-3436.290666;-0.261239;4.296500;1.415210;0.103630;-0.182680;-0.079050;652.748877
PAFSOH;-2957.282869;-0.238591;3.955800;1.540240;0.141720;-0.189930;-0.048210;582.152932
OVIQAM;-2090.745202;-0.177697;2.135100;1.968680;0.090800;-0.168750;-0.077950;484.456134
SODNUW;-1921.746039;-0.069144;0.333900;1.705380;0.158590;-0.161900;-0.003310;273.610627
UZOREI;-2762.575412;-0.282382;3.711500;1.933370;0.158310;-0.187170;-0.028860;668.717545
MEDMOX;-1037.289054;-0.094088;8.672300;1.877410;0.086540;-0.105540;-0.019000;288.838903
KAYBOB;-1237.724453;-0.130446;1.419100;1.938250;0.142300;-0.170930;-0.028630;362.189601
UBERIE;-1743.750736;-0.194450;4.077900;1.818070;0.104950;-0.168110;-0.063160;493.518021
PAKVUU;-2199.801804;-0.167398;4.964700;1.646830;0.089910;-0.174950;-0.085040;494.986212
QALJOE;-1847.586634;-0.170565;1.561700;1.721680;0.108550;-0.198570;-0.090020;486.146323
XINNEO;-1422.430050;-0.082347;4.643400;2.023190;0.155960;-0.344810;-0.188850;286.739104
GINROK;-1765.570795;-0.065210;10.781700;1.264280;0.234490;-0.352830;-0.118340;207.649234
KEZZUN;-2236.008726;-0.072514;8.811900;1.181410;0.107190;-0.213310;-0.106120;266.509749
SEZZUU;-1682.069405;-0.096719;6.496400;1.035310;0.161590;-0.302730;-0.141140;313.541450
TOJMAH;-7598.239549;-0.185407;3.048900;0.803380;0.159240;-0.199990;-0.040750;498.023975
JIYVIX;-3176.154954;-0.228887;4.153300;1.627140;0.141530;-0.187410;-0.045880;578.016484
RURGES;-1687.021986;-0.180518;4.285000;1.905710;0.109860;-0.180460;-0.070600;504.161144
PUQMEU;-5181.401940;-0.421623;5.900800;1.793750;0.106180;-0.157990;-0.051810;964.357240
BALTAM;-2763.364128;-0.156270;8.114300;1.639060;0.131170;-0.196340;-0.065170;433.091016
MINQEF;-9630.335679;-0.396546;2.071300;1.091130;0.156960;-0.287940;-0.130980;966.767270
QIRZAU;-2078.873297;-0.202915;5.183900;2.002630;0.164000;-0.163100;0.000900;530.799782
XUFGIQ;-2372.017037;-0.129092;5.840600;1.289270;0.110410;-0.136240;-0.025830;349.709237
IBIFEE;-4241.928226;-0.435937;2.882700;1.498100;0.148860;-0.184790;-0.035930;948.553198
NUZHEW;-5225.505302;-0.360195;3.758700;1.439460;0.107980;-0.180800;-0.072820;899.558152
QOKPUC;-1267.011032;-0.109836;2.086900;1.951950;0.176510;-0.295900;-0.119390;326.983644
DUDREA;-1292.936551;-0.147770;6.160500;1.908520;0.098010;-0.027100;0.070910;418.863588
SOMQAN;-3900.412543;-0.253742;6.707600;1.516870;0.116150;-0.186230;-0.070080;634.753328
EXACUB;-2960.772372;-0.137811;8.413000;0.694100;0.167050;-0.183240;-0.016190;338.410735
BAWNEU;-2728.019692;-0.200263;6.512900;1.604140;0.188110;-0.241190;-0.053080;475.531073
PADGIL;-1782.826506;-0.169583;3.908000;1.909430;0.139780;-0.161610;-0.021830;451.335629
LACNOU;-3057.378242;-0.218644;4.551600;0.916260;0.133060;-0.161810;-0.028750;523.262921
QALJIY;-1847.514299;-0.176250;3.293900;1.703110;0.091760;-0.176490;-0.084730;485.334700
LODRUS;-3167.436165;-0.299258;3.422400;1.718880;0.230750;-0.192720;0.038030;637.658678
IJAYUO;-2347.765159;-0.160613;0.928200;1.414220;0.137100;-0.193900;-0.056800;416.663485
YEZROM;-3321.900344;-0.247376;5.307000;0.830050;0.093110;-0.148900;-0.055790;599.017081
NICHAJ;-2369.819409;-0.095540;17.344600;0.999570;0.169830;-0.225550;-0.055720;302.019094
FUDSEE;-2920.590570;-0.196574;4.899500;0.909810;0.112260;-0.161180;-0.048920;537.814613
CURVIV;-2649.303038;-0.224166;12.164500;1.171160;0.063000;-0.109780;-0.046780;534.518156
LITSEO;-2776.346911;-0.229160;5.748700;1.699330;0.071760;-0.172360;-0.100600;573.894309
GUSQIU;-2796.049964;-0.169277;6.073600;1.493340;0.107620;-0.190790;-0.083170;468.296032
WONHOZ;-3673.430022;-0.267450;8.521200;1.192300;0.113410;-0.185440;-0.072030;665.459013
XANYUG;-2088.203323;-0.132673;8.910100;0.740090;0.126020;-0.193320;-0.067300;438.265819
ROJMEJ;-1480.320618;-0.164474;10.176700;1.969850;0.136930;-0.153950;-0.017020;446.657357
ZESZIJ;-4519.164500;-0.348636;6.207800;1.725090;0.105870;-0.183030;-0.077160;796.051022
EMASUI;-2188.696318;-0.138523;17.196200;1.506100;0.173230;-0.224060;-0.050830;406.274520
WUZJOQ;-2795.029946;-0.213119;4.697200;1.572690;0.152130;-0.181680;-0.029550;530.143612
YOSHEV;-3617.773805;-0.303873;5.560200;1.187450;0.082000;-0.165920;-0.083920;692.960109
PESYIY;-2700.659003;-0.221114;8.487800;1.867040;0.152160;-0.172800;-0.020640;553.870384
BADQUU;-3291.091765;-0.293964;3.722200;2.005010;0.152590;-0.165010;-0.012420;694.950090
LULGAC;-1964.109426;-0.222521;12.856100;1.759730;0.127230;-0.188490;-0.061260;541.884086
FUDRUT;-3250.540940;-0.216847;5.768600;0.906350;0.106280;-0.158160;-0.051880;575.908918
HOCXUT;-2775.125260;-0.210179;1.252100;1.277440;0.135400;-0.213810;-0.078410;536.226752
EMUTEN;-1456.911779;-0.128571;8.370200;1.735350;0.155440;-0.288620;-0.133180;397.352650
XEVDAE;-1602.763418;-0.135213;3.794600;1.870400;0.139100;-0.167140;-0.028040;368.300463
LAWRAC;-1156.376353;-0.113946;9.282300;1.877320;0.093790;-0.100420;-0.006630;328.306764
PIHDER;-1750.201258;-0.169961;7.127100;1.945810;0.133680;-0.156060;-0.022380;466.974743
ELEJOU;-6795.868303;-0.111150;1.015000;0.959190;0.126340;-0.182830;-0.056490;308.460079
HUWFEK;-10336.802923;-0.298646;4.562700;0.669000;0.156730;-0.320280;-0.163550;751.962873
BOBJIM;-2093.952000;-0.150256;0.687100;1.372650;0.134520;-0.174740;-0.040220;391.866575
AYOZIX;-2609.289517;-0.156477;0.860900;1.969990;0.137830;-0.206870;-0.069040;450.413872
SUSKOH;-2014.580141;-0.131341;7.469000;1.603000;0.133240;-0.246250;-0.113010;376.016001
UJAXEJ;-2758.738043;-0.259781;2.042200;1.923020;0.101780;-0.149130;-0.047350;639.476478
NAXTOY;-3250.965302;-0.246045;2.741700;1.366330;0.117610;-0.182160;-0.064550;596.625454
BICXUI;-2481.825480;-0.163213;2.068400;1.308640;0.135500;-0.210090;-0.074590;441.316273
DANVAP;-3029.832224;-0.242727;3.935200;1.562310;0.084310;-0.169310;-0.085000;669.677181
RIKGID;-2684.966719;-0.175486;4.773700;1.459950;0.120900;-0.173940;-0.053040;459.647463
ENAFOO;-2139.871683;-0.179855;3.055300;1.982380;0.139350;-0.184490;-0.045140;479.566154
QUBWIT;-3766.072942;-0.166957;4.279800;1.431880;0.171690;-0.219630;-0.047940;435.705032
SIHZER;-1202.263964;-0.119821;4.462600;1.996970;0.144840;-0.165900;-0.021060;347.733572
WUFTAS;-2065.686669;-0.151638;10.492700;1.087370;0.113310;-0.325340;-0.212030;433.264139
GAJCEB;-10887.575253;-0.277464;11.924100;1.846710;0.100000;-0.195610;-0.095610;784.802145
USELIO;-3390.366640;-0.205079;12.212900;1.300010;0.148810;-0.221610;-0.072800;533.355381
FUDTAB;-2669.871905;-0.167595;6.515600;1.049870;0.152480;-0.197130;-0.044650;479.229730
QELKIC;-3243.148229;-0.209685;4.755800;1.582010;0.144940;-0.188960;-0.044020;544.280461
IPISOQ;-3145.406667;-0.198905;3.998400;1.544170;0.127420;-0.176710;-0.049290;523.026660
FOCGEM;-2201.509482;-0.146763;6.480200;1.490990;0.095320;-0.207040;-0.111720;431.523165
YOSMID;-1342.811150;-0.145670;6.286200;2.042210;0.134170;-0.146020;-0.011850;400.010656
HEXYUG;-2983.338721;-0.133911;2.663700;1.190600;0.087190;-0.180180;-0.092990;393.867049
TUCTAM;-3031.130063;-0.196926;1.163700;1.634180;0.167900;-0.193680;-0.025780;523.504448
FIYWUF;-1493.823657;-0.071568;13.838700;1.581640;0.198350;-0.256200;-0.057850;217.487797
LIRGOI;-3560.816924;-0.188509;0.874100;1.002930;0.096230;-0.187140;-0.090910;481.415667
MORZOK;-2505.529981;-0.294757;5.137000;1.956820;0.083500;-0.150460;-0.066960;703.145145
EXUYUT;-2708.374072;-0.308712;6.176600;1.996250;0.133280;-0.152750;-0.019470;749.023552
RISYUQ;-4121.416602;-0.208086;10.510200;1.666250;0.100640;-0.217740;-0.117100;582.149159
MIRYOD;-2433.684294;-0.103540;6.371400;1.706650;0.183730;-0.198800;-0.015070;314.400222
PUBREK;-2309.466705;-0.270500;4.591000;1.863510;0.097790;-0.155690;-0.057900;623.410381
ARIKUI;-1926.718127;-0.138577;4.775500;1.937460;0.144790;-0.179500;-0.034710;400.075077
QEHXUY;-3396.073722;-0.291708;4.200700;1.070230;0.133060;-0.189210;-0.056150;706.538244
ERASIZ;-1693.870421;-0.060146;0.003500;0.304260;0.159570;-0.072980;0.086590;278.092114
TAKBEP;-3503.773001;-0.284145;8.635200;1.951950;0.128510;-0.190370;-0.061860;700.019046
IXURAU;-3217.966167;-0.267882;4.679400;1.202240;0.097100;-0.167560;-0.070460;601.218388
OVAHAV;-2225.950813;-0.229327;2.559400;1.919760;0.117150;-0.180910;-0.063760;589.916691
HAFZIZ;-1198.438487;-0.124279;0.715600;1.936460;0.146760;-0.162610;-0.015850;349.950016
WUQBUG;-988.297721;-0.099819;4.810500;1.974020;0.133050;-0.167450;-0.034400;300.892240
FUDMEY;-2847.633558;-0.160412;6.759700;0.880530;0.138010;-0.181200;-0.043190;472.178253
LAZQAF;-2047.014637;-0.189696;6.175300;1.882440;0.091370;-0.164410;-0.073040;509.425496
ITUWUP;-2025.739545;-0.127207;5.446100;1.455250;0.175660;-0.214860;-0.039200;354.612579
TOQVAX;-1595.444024;-0.169408;0.663900;1.905050;0.180160;-0.172520;0.007640;435.045617
PESZOC;-2544.027291;-0.250967;3.737800;1.921380;0.153480;-0.196080;-0.042600;608.408674
QOKJEG;-3509.999403;-0.257648;6.558800;1.521910;0.117780;-0.200670;-0.082890;650.548531
LOMYUJ;-3117.019791;-0.093592;7.565300;0.554010;0.118040;-0.223850;-0.105810;290.725437
ZUXPUD;-2020.979323;-0.162778;0.211800;2.017760;0.162790;-0.180790;-0.018000;456.800986
IFEGOR;-2997.680277;-0.238821;6.481000;1.297550;0.101420;-0.158130;-0.056710;572.891455
AGUVUT;-1733.437640;-0.130342;0.885500;1.440650;0.128990;-0.167060;-0.038070;344.203557
TASGUQ;-8459.255799;-0.266659;0.033100;1.336530;0.230740;-0.281520;-0.050780;621.371609
KINDEQ;-3235.367395;-0.111025;6.191500;1.727270;0.117870;-0.240000;-0.122130;339.883508
RATLOQ;-4696.082503;-0.263805;1.039800;1.641750;0.011270;-0.164740;-0.153470;649.755648
IXUQUN;-2908.430513;-0.223394;3.185600;1.219570;0.126880;-0.186550;-0.059670;515.174978
ILAYAV;-2845.236718;-0.243217;2.009200;1.874170;0.148960;-0.156770;-0.007810;580.846605
RIFXAH;-3295.709825;-0.187025;8.379100;1.360530;0.117590;-0.180720;-0.063130;493.541164
GOJQAX;-3654.208125;-0.215942;18.135000;1.662290;0.103030;-0.239160;-0.136130;578.005805
EFEHON;-1588.107998;-0.129505;7.721400;1.879300;0.159350;-0.166170;-0.006820;355.273820
GIZXOE;-3193.029155;-0.355019;2.551700;1.946330;0.132630;-0.182760;-0.050130;833.534551
TEZSIC;-2683.152016;-0.219871;6.489800;1.916660;0.126980;-0.177940;-0.050960;581.771267
IDEPAI;-2764.737072;-0.284395;3.427600;2.112410;0.167240;-0.183780;-0.016540;666.451737
UMEWIT;-1645.426768;-0.142455;7.051000;1.749570;0.119980;-0.176930;-0.056950;406.006632
MUBPUW;-2485.042584;-0.130672;6.155100;1.343650;0.140550;-0.181080;-0.040530;382.542377
BIRJUH;-2366.442730;-0.214574;15.878300;1.736990;0.086790;-0.061010;0.025780;565.624460
RIHXUE;-2282.046567;-0.172879;2.339300;1.856440;0.021140;-0.168940;-0.147800;484.650179
NEPPEG;-2652.989180;-0.233800;4.680800;1.323230;0.096990;-0.148970;-0.051980;540.574753
TAZHEI;-1197.597527;-0.092574;6.956300;1.898360;0.181840;-0.279990;-0.098150;279.388907
QEJFES;-2181.220382;-0.266170;5.235700;1.909610;0.106030;-0.157000;-0.050970;619.057693
YUFXAZ;-1605.898677;-0.129910;3.615900;1.650530;0.139040;-0.187060;-0.048020;391.541280
UBAMUI;-2432.842934;-0.157148;11.085800;1.535460;0.125620;-0.210920;-0.085300;474.057352
ROXBAJ;-2876.065936;-0.233914;8.766700;1.773700;0.070340;-0.174080;-0.103740;588.885800
JASWEG;-3056.912042;-0.178395;14.187200;1.390210;0.126210;-0.174910;-0.048700;483.626211
COSCAR;-2159.050720;-0.166224;0.894000;0.994460;0.131030;-0.167040;-0.036010;398.054853
WONHUF;-3794.714908;-0.302174;7.512200;1.276640;0.117730;-0.175730;-0.058000;717.624870
SURBEO;-2993.356365;-0.194549;3.063100;1.265630;0.135990;-0.187780;-0.051790;507.773239
AFOYID;-1623.985695;-0.126168;5.051100;1.520680;0.080810;-0.171540;-0.090730;332.677623
POSWUQ;-3852.178634;-0.261944;8.966400;1.454340;0.133520;-0.187280;-0.053760;670.524224
FUPZIA;-3112.958868;-0.346549;0.952500;1.930850;0.135370;-0.092120;0.043250;823.591564
LODHIV;-6891.222768;-0.185682;8.985000;1.191970;0.114480;-0.180890;-0.066410;498.718270
